city,city_ascii,province_id,province_name
Toronto,Toronto,ON,Ontario
Montréal,Montreal,QC,Quebec
Vancouver,Vancouver,BC,British Columbia
Calgary,Calgary,AB,Alberta
Edmonton,Edmonton,AB,Alberta
Ottawa,Ottawa,ON,Ontario
Mississauga,Mississauga,ON,Ontario
Winnipeg,Winnipeg,MB,Manitoba
Quebec City,Quebec City,QC,Quebec
Hamilton,Hamilton,ON,Ontario
Brampton,Brampton,ON,Ontario
Surrey,Surrey,BC,British Columbia
Kitchener,Kitchener,ON,Ontario
Laval,Laval,QC,Quebec
Halifax,Halifax,NS,Nova Scotia
London,London,ON,Ontario
Victoria,Victoria,BC,British Columbia
Markham,Markham,ON,Ontario
St. Catharines,St. Catharines,ON,Ontario
Niagara Falls,Niagara Falls,ON,Ontario
Vaughan,Vaughan,ON,Ontario
Gatineau,Gatineau,QC,Quebec
Windsor,Windsor,ON,Ontario
Saskatoon,Saskatoon,SK,Saskatchewan
Longueuil,Longueuil,QC,Quebec
Burnaby,Burnaby,BC,British Columbia
Regina,Regina,SK,Saskatchewan
Richmond,Richmond,BC,British Columbia
Richmond Hill,Richmond Hill,ON,Ontario
Oakville,Oakville,ON,Ontario
Burlington,Burlington,ON,Ontario
Barrie,Barrie,ON,Ontario
Oshawa,Oshawa,ON,Ontario
Sherbrooke,Sherbrooke,QC,Quebec
Saguenay,Saguenay,QC,Quebec
Lévis,Levis,QC,Quebec
Kelowna,Kelowna,BC,British Columbia
Abbotsford,Abbotsford,BC,British Columbia
Coquitlam,Coquitlam,BC,British Columbia
Trois-Rivières,Trois-Rivieres,QC,Quebec
Guelph,Guelph,ON,Ontario
Cambridge,Cambridge,ON,Ontario
Whitby,Whitby,ON,Ontario
Ajax,Ajax,ON,Ontario
Langley,Langley,BC,British Columbia
Saanich,Saanich,BC,British Columbia
Terrebonne,Terrebonne,QC,Quebec
Milton,Milton,ON,Ontario
St. John's,St. John's,NL,Newfoundland and Labrador
Moncton,Moncton,NB,New Brunswick
Thunder Bay,Thunder Bay,ON,Ontario
Dieppe,Dieppe,NB,New Brunswick
Waterloo,Waterloo,ON,Ontario
Delta,Delta,BC,British Columbia
Chatham,Chatham,ON,Ontario
Red Deer,Red Deer,AB,Alberta
Kamloops,Kamloops,BC,British Columbia
Brantford,Brantford,ON,Ontario
Cape Breton,Cape Breton,NS,Nova Scotia
Lethbridge,Lethbridge,AB,Alberta
Saint-Jean-sur-Richelieu,Saint-Jean-sur-Richelieu,QC,Quebec
Clarington,Clarington,ON,Ontario
Pickering,Pickering,ON,Ontario
Nanaimo,Nanaimo,BC,British Columbia
Sudbury,Sudbury,ON,Ontario
North Vancouver,North Vancouver,BC,British Columbia
Brossard,Brossard,QC,Quebec
Repentigny,Repentigny,QC,Quebec
Newmarket,Newmarket,ON,Ontario
Chilliwack,Chilliwack,BC,British Columbia
White Rock,White Rock,BC,British Columbia
Maple Ridge,Maple Ridge,BC,British Columbia
Peterborough,Peterborough,ON,Ontario
Kawartha Lakes,Kawartha Lakes,ON,Ontario
Prince George,Prince George,BC,British Columbia
Sault Ste. Marie,Sault Ste. Marie,ON,Ontario
Sarnia,Sarnia,ON,Ontario
